# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\Alex\Desktop\ELEC374Project\SimpleCPU\CPUPinPlan.csv
# Generated on: Mon Mar 24 12:27:49 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Current Strength,Reserved,I/O Standard,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
OutPort_data_out[31],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[30],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[29],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[28],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[27],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[26],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[25],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[24],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[23],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[22],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[21],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[20],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[19],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[18],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[17],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[16],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[15],Output,,,,,,,,,,,,,,,,,
OutPort_data_out[14],Output,PIN_U22,4A,B4A_N0,,,,,,,,,,,,,,
OutPort_data_out[13],Output,PIN_AA17,4A,B4A_N0,,,,,,,,,,,,,,
OutPort_data_out[12],Output,PIN_AB18,4A,B4A_N0,,,,,,,,,,,,,,
OutPort_data_out[11],Output,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
OutPort_data_out[10],Output,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
